Botafogo,18,7,6,0,1,6,14,8,86
Palmeiras,15,7,4,3,0,6,16,10,71
Fluminense,13,7,4,1,2,6,12,6,62
Atlético-MG,13,7,4,1,2,6,11,5,62
Cruzeiro,12,7,4,0,3,6,11,5,57
Flamengo,12,7,4,0,3,9,13,4,57
Athletico,12,7,4,0,3,9,10,1,57
São Paulo,12,7,3,3,1,6,12,6,57
Santos,11,7,3,2,2,5,8,3,52
Grêmio,11,7,3,2,2,10,10,0,52
Fortaleza,10,7,2,4,1,6,10,4,48
Red Bull Bragantino,10,7,2,4,1,11,11,0,48
Bahia,7,7,2,1,4,12,9,-3,33
Cuiabá,7,7,2,1,4,12,6,-6,33
Internacional,7,7,2,1,4,11,5,-6,33
Goiás,7,7,2,1,4,13,6,-7,33
Vasco,6,7,1,3,3,11,8,-3,29
Corinthians,5,7,1,2,4,12,6,-6,24
América-MG,4,7,1,1,5,18,7,-11,19
Coritiba,2,7,0,2,5,16,6,-10,10
