Botafogo,21,8,7,0,1,6,16,10,88
Palmeiras,16,8,4,4,0,7,17,10,67
São Paulo,15,8,4,3,1,7,14,7,63
Atlético-MG,14,8,4,2,2,7,12,5,58
Grêmio,14,8,4,2,2,11,12,1,58
Cruzeiro,13,8,4,1,3,7,12,5,54
Flamengo,13,8,4,1,3,10,14,4,54
Fluminense,13,8,4,1,3,8,12,4,54
Fortaleza,13,8,3,4,1,6,12,6,54
Red Bull Bragantino,13,8,3,4,1,11,13,2,54
Athletico,12,8,4,0,4,11,11,0,50
Santos,11,8,3,2,3,7,8,1,46
Internacional,10,8,3,1,4,11,7,-4,42
Corinthians,8,8,2,2,4,12,8,-4,33
Cuiabá,8,8,2,2,4,13,7,-6,33
Bahia,7,8,2,1,5,14,9,-5,29
Goiás,7,8,2,1,5,15,7,-8,29
Vasco,6,8,1,3,4,13,8,-5,25
América-MG,4,8,1,1,6,20,7,-13,17
Coritiba,3,8,0,3,5,17,7,-10,13
